datetime,open,high,low,close,% change
2025-03-07,236.08,241.34,236.05,238.59,1.0631989156218193
2025-03-06,234.2,237.84,233.31,235.63,0.6105892399658441
2025-03-05,235.13,236.5,229.24,236.02,0.3785140135244396
2025-03-04,237.74,240.05,234.71,235.82,-0.8076049465803046
2025-03-03,243.17,244.01,236.11,238.0,-2.1260846321503424
2025-02-28,235.57,240.97,235.44,240.9,2.2625971048945166
2025-02-27,241.6,242.48,237.25,237.32,-1.7715231788079475
2025-02-26,243.42,244.59,239.14,240.45,-1.2201133842740937
2025-02-25,247.94,249.92,244.91,246.53,-0.5686859724126792
2025-02-24,246.05,248.83,244.84,247.24,0.4836415362731143
2025-02-21,246.24,248.68,245.21,245.91,-0.1340155945419154
2025-02-20,245.72,246.69,244.31,245.88,0.06511476477291087
2025-02-19,244.49,245.64,243.18,244.72,0.09407337723423852
2025-02-18,243.74,245.16,241.86,244.03,0.11897924017395259
2025-02-14,242.68,245.05,242.31,244.94,0.9312675127740196
2025-02-13,238.36,242.35,235.59,241.33,1.2460144319516693
2025-02-12,231.2,236.75,231.18,236.74,2.3961937716263066
2025-02-11,231.17,235.22,229.35,232.67,0.6488731236752174
2025-02-10,229.85,230.59,227.2,227.48,-1.0311072438546898
2025-02-07,233.39,233.97,227.3,227.98,-2.3180084836539683
2025-02-06,231.12,233.77,230.42,233.1,0.8566978193146373
2025-02-05,229.19,232.12,228.41,231.89,1.1780618700641339
2025-02-04,226.88,232.93,226.88,232.83,2.6225317348378074
2025-02-03,230.08,231.81,225.7,228.54,-0.6693324061196194
2025-01-31,245.26,245.71,233.45,235.49,-3.9835276849058068
2025-01-30,239.89,240.34,237.2,238.42,-0.6127808578932006
2025-01-29,234.93,239.6,234.93,239.48,1.9367471161622538
2025-01-28,234.23,240.16,232.74,238.24,1.711992486018025
2025-01-27,226.47,232.12,224.81,228.75,1.0067558617035373
2025-01-24,224.51,225.4,221.42,222.67,-0.819562603002095
2025-01-23,225.24,227.0,222.3,222.84,-1.0655301012253622
2025-01-22,222.58,223.9,221.06,223.81,0.5526102974211473
2025-01-21,222.26,222.7,219.37,222.44,0.08098623234050518
2025-01-17,231.13,231.6,228.47,229.5,-0.705230822480853
2025-01-16,236.21,236.96,228.02,228.22,-3.382583294526061
2025-01-15,236.78,238.53,236.5,237.66,0.37165301123405503
2025-01-14,235.89,236.07,232.47,233.28,-1.1064479206409705
2025-01-13,231.25,234.18,229.73,233.95,1.1675675675675627
2025-01-10,238.37,239.29,233.0,236.78,-0.6670302470948539
2025-01-08,241.23,243.69,240.07,242.36,0.4684326161754441
2025-01-07,243.94,245.52,241.35,242.02,-0.7870787898663554
2025-01-06,245.87,247.32,244.17,245.09,-0.3172408183186241
2025-01-03,242.47,244.15,241.89,242.66,0.07836020951045397
2025-01-02,246.41,247.8,241.81,243.45,-1.2012499492715425
2024-12-31,252.43,252.68,249.43,250.06,-0.9388741433268647
2024-12-30,251.42,253.48,250.75,252.75,0.5289953066581865
2024-12-27,256.94,257.24,253.06,255.71,-0.47871098310889304
2024-12-26,259.52,260.06,257.62,259.35,-0.06550554870528633
2024-12-24,256.88,258.17,256.24,258.08,0.4671441918405437
2024-12-23,254.31,255.4,253.44,255.17,0.3381699500609434
2024-12-20,247.09,254.18,246.29,252.96,2.3756525962200024
2024-12-19,247.83,251.84,247.75,249.62,0.7222692975023169
2024-12-18,252.11,254.27,247.83,249.54,-1.0193962952679472
2024-12-17,250.77,253.63,250.57,253.45,1.06870837819515
2024-12-16,249.91,251.37,248.48,250.41,0.20007202592933457
2024-12-13,248.45,249.28,246.23,247.95,-0.20124773596297044
2024-12-12,246.71,248.73,245.67,248.09,0.5593611933038772
2024-12-11,248.64,250.8,246.75,246.78,-0.7480694980694922
2024-12-10,246.62,248.19,245.34,247.48,0.3487146216851777
2024-12-09,243.24,247.23,242.64,246.58,1.3731294195033725
2024-12-06,242.4,244.63,242.38,242.61,0.08663366336633992
2024-12-05,243.67,243.74,242.18,242.41,-0.5170927894283215
2024-12-04,243.025,244.085,241.195,242.945,-0.03291842403045469
2024-12-03,239.522,242.472,238.982,242.452,1.2232696787769002
2024-12-02,239.256,240.767,238.217,239.595,0.14168923663356348
2024-11-29,234.55,237.774,234.55,237.464,1.2423790236623267
2024-11-27,234.623,235.653,233.783,234.873,0.10655391841379576
2024-11-26,234.402,235.542,233.639,234.919,0.22056125800975435
2024-11-25,232.289,233.229,229.72,232.23,-0.025399394719507813
2024-11-22,228.74,230.68,228.64,229.706,0.42231354376146707
2024-11-21,228.757,230.117,225.703,228.407,-0.1530007824897137
2024-11-20,229.619,229.889,225.879,228.619,-0.4355040305898031
2024-11-19,227.66,230.14,227.11,228.15,0.21523324255469084
2024-11-18,226.45,229.72,226.15,227.34,0.3930227423272311
2024-11-15,226.31,226.45,224.25,225.05,-0.5567584287039861
2024-11-14,226.16,228.85,225.03,228.26,0.9285461620091945
2024-11-13,223.62,226.63,222.74,224.88,0.5634558626240903
2024-11-12,223.85,225.53,223.33,224.43,0.25910207728390106
