datetime,open,high,low,close,% change
2025-03-01,243.17,244.01,229.24,238.59,-1.883456018423319
2025-02-01,230.08,249.92,225.7,241.02,4.754867872044505
2025-01-01,246.41,247.8,219.37,235.88,-4.273365528996389
2024-12-01,239.256,260.06,238.217,250.06,4.515665228876184
2024-11-01,222.18,237.774,219.69,237.303,6.806643262219818
2024-10-01,227.54,237.44,221.99,226.42,-0.49222114793003624
2024-09-01,226.99,233.05,214.0,232.11,2.2556059738314485
2024-08-01,223.19,232.87,201.05,228.98,2.59420224920471
2024-07-01,213.29,236.93,212.24,222.39,4.266491631112567
2024-06-01,193.12,220.18,192.14,211.65,9.59507042253521
2024-05-01,169.1,192.96,169.08,192.25,13.690124186871678
2024-04-01,170.68,178.32,164.05,171.26,0.33981720178110153
2024-03-01,180.299,180.419,168.478,171.58,-4.835855994764249
2024-02-01,185.024,190.388,179.516,179.996,-2.717485299204423
2024-01-01,187.728,196.312,180.166,185.019,-1.4430452569675292
2023-12-01,189.482,199.578,187.433,192.423,1.552126323344699
2023-11-01,170.382,192.913,170.166,189.867,11.43606719019614
2023-10-01,173.048,182.318,165.666,170.833,-1.279991678609405
2023-09-01,188.992,189.974,168.144,171.449,-9.282403487978316
2023-08-01,196.381,196.72,172.335,188.362,-4.08338892255361
2023-07-01,193.34,198.195,186.587,196.03,1.3913313334022954
2023-06-01,177.546,194.454,176.913,194.345,9.46177328692283
2023-05-01,169.409,179.34,164.31,177.535,4.7966755013015865
2023-04-01,165.48,169.844,159.778,169.36,2.3446942228668264
2023-03-01,146.755,164.946,143.895,164.66,12.200606452931758
2023-02-01,142.85,157.36,141.34,147.807,3.470073503675179
2023-01-01,129.82,147.219,124.163,144.017,10.935911261747037
2022-12-01,148.236,150.904,125.875,129.759,-12.464583501983327
2022-11-01,154.72,154.994,134.371,147.475,-4.682652533609103
2022-10-01,138.754,157.489,134.967,152.931,10.217363103045694
2022-09-01,156.242,164.246,138.62,138.649,-11.260096516941662
2022-08-01,161.64,176.138,157.555,157.637,-2.476490967582273
2022-07-01,136.793,163.626,135.69,162.694,18.93444840013742
2022-06-01,150.535,151.71,129.065,136.036,-9.631647125253261
2022-05-01,156.706,166.457,132.61,149.46,-4.623945477518399
2022-04-01,174.09,178.458,155.38,157.529,-9.512895628697803
2022-03-01,165.811,179.58,150.114,174.815,5.430279052656331
2022-02-01,173.581,176.643,153.414,164.803,-5.0570050869622785
2022-01-01,178.954,182.872,154.699,174.641,-2.4101165662684356
2021-12-01,166.147,182.084,158.752,177.552,6.864403209206306
2021-11-01,149.42,165.696,147.466,164.596,10.156605541426861
2021-10-01,140.719,153.155,138.263,149.781,6.439784250882974
2021-09-01,154.317,157.249,141.26,141.697,-8.17797131877888
2021-08-01,146.41,153.479,144.75,151.637,3.5701113311932273
2021-07-01,136.686,149.975,135.745,145.932,6.764408937272274
2021-06-01,124.852,137.377,123.116,137.079,9.793195143049372
2021-05-01,132.606,134.045,122.232,124.749,-5.925071263743722
2021-04-01,123.371,135.996,122.48,131.133,6.291592027299783
2021-03-01,123.3,127.83,116.59,122.112,-0.9635036496350384
2021-02-01,134.65,137.87,118.37,122.86,-8.756034162643896
2021-01-01,132.78,145.08,126.47,132.54,-0.18075011296882745
2020-12-01,120.29,138.78,120.01,132.1,9.817939978385558
2020-11-01,109.84,121.98,107.32,119.33,8.639839766933717
2020-10-01,117.01,125.17,107.72,108.07,-7.64037261772499
2020-09-01,131.3,135.28,104.55,116.04,-11.622239146991625
2020-08-01,437.72,514.89,126.34,129.23,-70.47656035821987
2020-07-01,366.74,424.99,356.58,424.62,15.782298085837375
2020-06-01,317.98,372.32,317.86,365.61,14.978929492420907
2020-05-01,290.27,323.43,286.31,319.22,9.97347297343854
2020-04-01,247.45,293.31,236.89,292.56,18.229945443523953
2020-03-01,281.28,303.9,1.0,253.41,-9.908276450511938
2020-02-01,306.48,327.15,257.1,270.39,-11.775646045418961
2020-01-01,296.87,327.84,294.92,309.94,4.4026004648499315
2019-12-01,268.05,293.94,256.31,292.2,9.009513150531609
2019-11-01,250.67,267.97,249.71,267.34,6.650177524235046
2019-10-01,225.39,249.5,215.13,248.22,10.129109543458013
2019-09-01,206.49,226.37,204.22,223.67,8.320015497118494
2019-08-01,215.06,218.02,192.57,207.64,-3.4501999442016253
2019-07-01,203.34,221.36,198.41,213.98,5.232615324087728
2019-06-01,177.55,201.57,170.26,197.32,11.134891579836655
2019-05-01,210.06,215.3,175.05,175.4,-16.50004760544606
2019-04-01,190.73,208.46,188.38,200.88,5.321658889529704
2019-03-01,174.26,197.66,170.22,189.51,8.751291174107656
2019-02-01,167.16,175.86,165.93,173.47,3.774826513519982
2019-01-01,154.74,168.99,142.0,166.74,7.754943776657619
2018-12-01,182.61,184.54,146.56,157.38,-13.816329883357986
2018-11-01,219.62,222.15,170.26,178.44,-18.75056916492123
2018-10-01,228.95,233.45,206.9,219.42,-4.1624808910242415
2018-09-01,226.46,228.97,215.29,225.38,-0.4769054137596099
2018-08-01,198.441,228.86,197.542,227.89,14.840179196839355
2018-07-01,184.34,195.95,183.55,190.66,3.428447434089179
2018-06-01,188.102,194.02,180.72,185.68,-1.2875992812410273
2018-05-01,166.35,190.36,165.28,186.87,12.335437330928771
2018-04-01,168.374,178.93,160.63,165.45,-1.7366101654649808
2018-03-01,178.87,183.49,164.99,169.41,-5.288757197965007
2018-02-01,167.35,180.61,150.241,178.17,6.465491484911857
2018-01-01,169.64,180.09,165.11,167.184,-1.4477717519452895
2017-12-01,170.39,177.19,167.81,169.39,-0.5868889019308645
2017-11-01,169.23,176.22,165.27,172.037,1.6586893576789083
2017-10-01,154.05,169.64,152.46,168.83,9.594287568971113
2017-09-01,164.8,164.94,149.164,154.05,-6.523058252427185
2017-08-01,149.27,164.52,148.41,164.0,9.868024385341991
2017-07-01,144.93,153.99,142.41,148.73,2.621955426757733
2017-06-01,153.15,155.98,142.2,144.02,-5.961475677440415
2017-05-01,145.0,156.64,144.28,152.76,5.351724137931028
2017-04-01,143.67,145.46,140.06,143.65,-0.013920790700899152
2017-03-01,137.9,144.5,137.07,143.66,4.176939811457571
2017-02-01,127.1,137.48,127.08,136.99,7.781274586939429
2017-01-01,115.8,122.44,114.76,121.35,4.792746113989635
2016-12-01,110.34,118.0,108.25,115.82,4.966467282943619
2016-11-01,113.47,113.76,104.09,110.52,-2.5998061161540518
2016-10-01,112.75,118.69,112.29,113.54,0.7006651884700721
2016-09-01,106.14,116.17,102.54,113.05,6.510269455436212
2016-08-01,104.44,110.23,104.0,106.1,1.5894293374186104
2016-07-01,95.5,104.54,94.37,104.21,9.120418848167533
2016-06-01,98.98,99.99,91.5,95.6,-3.414831279046281
2016-05-01,93.96,100.72,89.47,99.86,6.279267773520654
2016-04-01,108.78,112.39,92.52,93.74,-13.826070968928118
2016-03-01,97.65,110.42,97.42,108.99,11.61290322580644
2016-02-01,96.46,98.82,92.59,96.69,0.23844080447854446
2016-01-01,102.5,105.85,92.4,97.34,-5.034146341463411
2015-12-01,118.73,119.86,104.82,105.26,-11.345068643139895
2015-11-01,119.86,123.81,111.0,118.3,-1.301518438177876
2015-10-01,109.13,121.22,107.31,119.5,9.502428296527082
